SppL	FBtr0084909
CG5913	FBtr0084938
E(spl)malpha-BFM	FBtr0084956
E(spl)m2-BFM	FBtr0084981
E(spl)m4-BFM	FBtr0084980
E(spl)m7-HLH	FBtr0084960
E(spl)m8-HLH	FBtr0084961
Vps2	FBtr0084967
Dak1	FBtr0084976
Sld5	FBtr0084975
CG14550	FBtr0084974
CG42498	FBtr0300624
RpL34a	FBtr0084972
CG6073	FBtr0085003
CG6073	FBtr0307342
CG12290	FBtr0084990
CG12290	FBtr0339612
Ald	FBtr0339614
CG6425	FBtr0085047
CG5484	FBtr0085037
CG5484	FBtr0085038
CG5484	FBtr0085039
CG6420	FBtr0339242
CG6420	FBtr0085046
IntS12	FBtr0085061
ball	FBtr0085096
His2Av	FBtr0085062
Rb97D	FBtr0085093
Rb97D	FBtr0085092
Rb97D	FBtr0100334
Rb97D	FBtr0100337
Rb97D	FBtr0100338
Rb97D	FBtr0100340
Rb97D	FBtr0100339
CG5500	FBtr0085064
T48	FBtr0085065
T48	FBtr0336724
CG6330	FBtr0085085
Tsp97E	FBtr0085082
gb	FBtr0345216
gb	FBtr0085132
CG5815	FBtr0085106
CG6066	FBtr0085131
CG5880	FBtr0085108
CG6051	FBtr0305050
CG6051	FBtr0113297
CG34293	FBtr0112489
CG42813	FBtr0347068
CG42813	FBtr0303825
pll	FBtr0085179
pll	FBtr0334732
TfIIA-L	FBtr0085155
woc	FBtr0112857
l(3)mbt	FBtr0085175
CG5934	FBtr0085158
CG5938	FBtr0085159
CG5938	FBtr0085160
CG5938	FBtr0085161
Hmu	FBtr0085164
wdb	FBtr0085203
pins	FBtr0085189
dsd	FBtr0335247
dsd	FBtr0301390
Mtl	FBtr0085192
CG5590	FBtr0085215
Sce	FBtr0085245
CG43320	FBtr0306924
ALiX	FBtr0085241
btz	FBtr0085220
btz	FBtr0330085
CG12877	FBtr0100446
CG5003	FBtr0085272
mRpS22	FBtr0085247
CG33213	FBtr0085271
CG12259	FBtr0085270
BCAS2	FBtr0085269
CG31053	FBtr0085268
mino	FBtr0085250
Mes-4	FBtr0085267
CG5514	FBtr0301143
CG5514	FBtr0335012
mfrn	FBtr0085266
Gp93	FBtr0085254
CG4951	FBtr0113298
CG4951	FBtr0085265
CG42487	FBtr0300439
CG4884	FBtr0344620
larp	FBtr0306389
larp	FBtr0301180
Gfat2	FBtr0085297
fkh	FBtr0345227
fkh	FBtr0300259
fkh	FBtr0330333
fkh	FBtr0346765
fkh	FBtr0085321
Noa36	FBtr0085320
Hrb98DE	FBtr0085298
Hrb98DE	FBtr0085299
Hrb98DE	FBtr0085302
Hrb98DE	FBtr0085301
CG9986	FBtr0085304
wdn	FBtr0085356
CG1523	FBtr0085355
CG1647	FBtr0085326
Apc	FBtr0085351
Inx3	FBtr0330306
Inx3	FBtr0085350
CG14523	FBtr0085349
CG1951	FBtr0085342
beta4GalNAcTB	FBtr0085419
Slu7	FBtr0085418
Sirt7	FBtr0085364
Cul5	FBtr0085417
alpha-Man-Ib	FBtr0085416
CG11876	FBtr0085367
CG11876	FBtr0085366
Atg14	FBtr0085370
yem	FBtr0085415
yem	FBtr0330292
CG11880	FBtr0085372
dgt6	FBtr0085414
CG14512	FBtr0085413
CG14516	FBtr0085383
CG11882	FBtr0335407
CG11882	FBtr0085411
Pglym78	FBtr0085384
Pglym78	FBtr0100483
Pglym78	FBtr0100482
ligatin	FBtr0085410
Slbp	FBtr0085409
Rpn2	FBtr0085385
Rpn2	FBtr0330379
Rpn2	FBtr0334532
CG11897	FBtr0085386
CG11897	FBtr0085387
CG11899	FBtr0085390
Ef1gamma	FBtr0085392
Ef1gamma	FBtr0085393
Cisd2	FBtr0085405
Brd8	FBtr0085394
CG15817	FBtr0300833
stg	FBtr0085397
stg	FBtr0334867
CG2321	FBtr0085436
Spase12	FBtr0085435
Trc8	FBtr0085430
Trc8	FBtr0333188
Trc8	FBtr0085429
alph	FBtr0085442
CG1907	FBtr0085447
Obp99a	FBtr0339147
Obp99a	FBtr0085450
Bub3	FBtr0085465
Cap-D2	FBtr0085452
Pcd	FBtr0085458
CG7593	FBtr0085461
CG7601	FBtr0085544
CG7598	FBtr0085473
IntS11	FBtr0085476
ATPsyn-gamma	FBtr0085539
ATPsyn-gamma	FBtr0085540
kay	FBtr0099989
Drice	FBtr0085482
CG7834	FBtr0085536
CG7834	FBtr0085535
CG7789	FBtr0085483
ncd	FBtr0085534
Vps16B	FBtr0085533
CG7824	FBtr0089927
CG15514	FBtr0085523
CG15514	FBtr0335005
RpS8	FBtr0310274
RpS8	FBtr0346158
RpS8	FBtr0085489
Zip99C	FBtr0089925
Zip99C	FBtr0303033
CG34133	FBtr0301073
CG42557	FBtr0301256
CG42558	FBtr0301257
Acph-1	FBtr0085610
Acph-1	FBtr0085609
Sas-6	FBtr0085546
CG15525	FBtr0085607
CG11504	FBtr0085547
CG11504	FBtr0085548
CG7911	FBtr0113308
CG7911	FBtr0085606
Nlp	FBtr0085552
Nlp	FBtr0334701
janA	FBtr0085597
janA	FBtr0085595
Sry-beta	FBtr0085556
Sry-beta	FBtr0346861
Sry-alpha	FBtr0346862
Sry-alpha	FBtr0085557
Sry-delta	FBtr0085558
RpL32	FBtr0085592
CG7943	FBtr0085559
CG7943	FBtr0085560
CG7946	FBtr0085561
CG7946	FBtr0310420
spn-A	FBtr0085589
Tpi	FBtr0085584
Bet5	FBtr0085570
RpS7	FBtr0089422
RpS7	FBtr0089425
hdc	FBtr0085619
hdc	FBtr0085621
hdc	FBtr0330311
Fer1HCH	FBtr0085632
Fer1HCH	FBtr0085631
Fer2LCH	FBtr0332168
CG2217	FBtr0344523
CG15535	FBtr0346511
CG15535	FBtr0085629
CG15536	FBtr0085628
CG2218	FBtr0339142
aralar1	FBtr0085694
aralar1	FBtr0330290
aralar1	FBtr0085695
wts	FBtr0085720
dj-1beta	FBtr0085703
cindr	FBtr0085704
tll	FBtr0085709
Sap-r	FBtr0085714
Sap-r	FBtr0085713
l(3)03670	FBtr0085745
dco	FBtr0334548
dco	FBtr0085743
Zwilch	FBtr0085777
CG1542	FBtr0085757
CG15561	FBtr0085776
CG1746	FBtr0085772
RNaseP:RNA	FBtr0085775
CG12054	FBtr0085758
CG12054	FBtr0335409
CG12054	FBtr0335408
mRpL32	FBtr0085759
spn-F	FBtr0085760
spn-F	FBtr0330079
CG11334	FBtr0085808
gammaCOP	FBtr0085793
gammaCOP	FBtr0301290
gammaCOP	FBtr0330096
CG1635	FBtr0085796
RpL6	FBtr0085805
CycG	FBtr0333328
CycG	FBtr0085803
CycG	FBtr0085800
CG1792	FBtr0085819
pasha	FBtr0085820
CG1815	FBtr0085824
CstF-50	FBtr0085865
CG11563	FBtr0085831
CG1890	FBtr0085836
awd	FBtr0346611
nero	FBtr0085863
CG1910	FBtr0085839
CG2126	FBtr0085857
CG2126	FBtr0330114
faf	FBtr0085844
faf	FBtr0085843
faf	FBtr0339188
Acf1	FBtr0085845
CG11576	FBtr0085852
heph	FBtr0112866
heph	FBtr0085879
heph	FBtr0300264
krz	FBtr0085877
krz	FBtr0305268
mod	FBtr0310268
Pdk1	FBtr0072464
Pdk1	FBtr0072465
CG7049	FBtr0072537
CG34140	FBtr0110975
mri	FBtr0072480
mri	FBtr0072481
Gyk	FBtr0072529
NitFhit	FBtr0072483
CG7028	FBtr0072528
CG16940	FBtr0072487
CG33229	FBtr0072499
wac	FBtr0289972
Tudor-SN	FBtr0072519
mRpL17	FBtr0072503
mRpL17	FBtr0310415
RhoGEF3	FBtr0333958
Atac3	FBtr0299838
Cdc5	FBtr0072569
MED14	FBtr0072554
CR43334	FBtr0306918
CR43334	FBtr0333725
CR43334	FBtr0333724
CG3402	FBtr0072559
CG17129	FBtr0072612
RabX6	FBtr0072577
RabX6	FBtr0330078
Vti1	FBtr0072607
hng3	FBtr0072601
CG42554	FBtr0301253
CG13901	FBtr0072596
CG13887	FBtr0072584
CG13890	FBtr0072587
CG13907	FBtr0345005
CG13907	FBtr0072593
nerfin-1	FBtr0072592
CG9205	FBtr0072622
Sac1	FBtr0072652
Rabex-5	FBtr0072663
Rac1	FBtr0331868
Rac1	FBtr0072730
CG2277	FBtr0345006
CG2469	FBtr0072669
CG9186	FBtr0072728
mtacp1	FBtr0072677
mtacp1	FBtr0072676
msd1	FBtr0072678
msd5	FBtr0072724
CG2211	FBtr0331866
l(3)02640	FBtr0072679
CG2199	FBtr0331865
Ptp61F	FBtr0072718
CG9166	FBtr0310160
rho	FBtr0072694
rho	FBtr0333207
CG12084	FBtr0332656
CG12084	FBtr0072711
cue	FBtr0072706
Psa	FBtr0072700
Psa	FBtr0333395
CG12091	FBtr0333400
CG12091	FBtr0072831
Cct1	FBtr0072738
CG12099	FBtr0072828
Pex10	FBtr0333397
CG12104	FBtr0333360
CG12104	FBtr0072825
CG13926	FBtr0072823
CG33230	FBtr0072757
CG13928	FBtr0072822
metl	FBtr0072813
metl	FBtr0072814
Bgb	FBtr0072758
Bgb	FBtr0330180
CG17249	FBtr0072810
CR45815	FBtr0346837
CG7967	FBtr0072809
CG7970	FBtr0346821
CG7970	FBtr0072762
CG7971	FBtr0072806
RpL23A	FBtr0072805
CG18171	FBtr0072800
CG12018	FBtr0072775
CG2021	FBtr0072791
Cdc37	FBtr0072777
Patj	FBtr0072779
JTBR	FBtr0332876
CG12024	FBtr0072833
HBS1	FBtr0345807
CG12025	FBtr0072834
CG12025	FBtr0332668
CG12025	FBtr0345381
dre4	FBtr0072865
Mfap1	FBtr0072841
CG1927	FBtr0072853
CG5707	FBtr0072912
CG8960	FBtr0072872
CG9018	FBtr0072909
CG2034	FBtr0072877
oxt	FBtr0072904
ecd	FBtr0072903
mRpL23	FBtr0072900
CG9004	FBtr0072890
CG15877	FBtr0072899
CG45186	FBtr0345096
CG45186	FBtr0345107
RpL8	FBtr0072924
dos	FBtr0072926
CG12182	FBtr0344989
CG12182	FBtr0072955
MEP-1	FBtr0072931
CG42245	FBtr0290341
Mrtf	FBtr0306331
Non2	FBtr0072969
mRpS35	FBtr0301626
pgant6	FBtr0072972
CG2162	FBtr0072981
CG2162	FBtr0345028
CG2162	FBtr0345029
scramb2	FBtr0073005
Sk2	FBtr0072984
CG32485	FBtr0072985
CG16753	FBtr0072990
CG11537	FBtr0073115
CG1291	FBtr0073023
CG12082	FBtr0073114
BtbVII	FBtr0307301
BtbVII	FBtr0330148
NDUFS3	FBtr0073113
pfk	FBtr0073027
Asciz	FBtr0073112
CG32278	FBtr0073033
CG14963	FBtr0073111
Girdin	FBtr0073035
Girdin	FBtr0073036
Girdin	FBtr0332097
Girdin	FBtr0332098
CG14965	FBtr0073109
Hsp83	FBtr0332873
Hsp83	FBtr0073040
CG14966	FBtr0073108
CG12034	FBtr0073043
RpL28	FBtr0073095
RpL28	FBtr0302301
RpL28	FBtr0073097
snoRNA:Or-CD12	FBtr0114344
CG17737	FBtr0073044
CG17746	FBtr0073093
CR43626	FBtr0309982
CR43626	FBtr0344727
ZnT63C	FBtr0330103
ZnT63C	FBtr0073055
CG12016	FBtr0073063
CG42456	FBtr0300240
Strip	FBtr0332058
PHGPx	FBtr0073066
PHGPx	FBtr0073067
CG12012	FBtr0073076
CG12012	FBtr0300749
CG12012	FBtr0346532
eIF5B	FBtr0073144
CG14971	FBtr0073143
ImpE2	FBtr0073141
Eip63E	FBtr0073131
Eip63E	FBtr0330068
CG32264	FBtr0308639
CG32264	FBtr0113430
ntc	FBtr0073185
CG32262	FBtr0073184
CG12006	FBtr0073149
Scsalpha	FBtr0303096
Scsalpha	FBtr0073151
enc	FBtr0073152
enc	FBtr0073153
CG14977	FBtr0330095
Ubi-p63E	FBtr0333142
Sc2	FBtr0073159
mge	FBtr0073176
CG10866	FBtr0345342
CG10866	FBtr0073173
CG10863	FBtr0073171
CG11593	FBtr0332982
CG11593	FBtr0114509
Rcd5	FBtr0073202
CG14995	FBtr0073272
Fit1	FBtr0073209
Chd64	FBtr0073270
ens	FBtr0073265
RfC4	FBtr0073264
Rop	FBtr0310632
Rop	FBtr0073263
Ras64B	FBtr0073212
VhaM9.7-c	FBtr0073256
ago	FBtr0073245
CG1309	FBtr0073229
CG11586	FBtr0073243
srw	FBtr0300579
TfIIEbeta	FBtr0073234
Hexo1	FBtr0333567
CG1319	FBtr0300775
Claspin	FBtr0073286
Claspin	FBtr0346538
CG32250	FBtr0073287
Cip4	FBtr0333571
CG11342	FBtr0073338
CG15019	FBtr0113139
CG15019	FBtr0073335
CG11357	FBtr0113143
Rpd3	FBtr0073317
CG13711	FBtr0073347
Aats-leu	FBtr0073348
CG10674	FBtr0077181
Prpk	FBtr0077180
CHMP2B	FBtr0077166
CG10672	FBtr0077179
CG10671	FBtr0077178
Srp54k	FBtr0077169
shep	FBtr0301599
lama	FBtr0077160
Klp64D	FBtr0077157
CG4769	FBtr0306086
Uev1A	FBtr0345026
Uev1A	FBtr0077155
CG10635	FBtr0077154
Sras	FBtr0077083
bc10	FBtr0077084
l(3)psg2	FBtr0077085
spo	FBtr0077130
spo	FBtr0346640
CG5150	FBtr0077086
CG5150	FBtr0345902
CG10590	FBtr0077127
Eaf6	FBtr0077126
Sse	FBtr0077125
DnaJ-1	FBtr0077123
DnaJ-1	FBtr0077124
Ubp64E	FBtr0077095
CG10576	FBtr0345606
CG10576	FBtr0345901
CG10576	FBtr0077121
Txl	FBtr0077098
Ppat-Dpck	FBtr0077120
scny	FBtr0077100
vito	FBtr0077119
Myt1	FBtr0077118
Pmi	FBtr0347274
Bre1	FBtr0344538
Bre1	FBtr0077116
CG5537	FBtr0077112
CG5537	FBtr0310534
mad2	FBtr0077113
Vap-33B	FBtr0091477
Rcc1	FBtr0077074
CG10479	FBtr0332041
CG10467	FBtr0077063
CG10274	FBtr0113149
D19B	FBtr0077017
CG13298	FBtr0077015
Trn	FBtr0077000
CG18769	FBtr0076972
zpg	FBtr0330185
zpg	FBtr0076983
CG8368	FBtr0076977
velo	FBtr0345025
velo	FBtr0076951
CG8549	FBtr0076943
CG8549	FBtr0330060
CG10103	FBtr0076949
CG10103	FBtr0330062
vvl	FBtr0076944
vvl	FBtr0330059
vvl	FBtr0346998
vvl	FBtr0346999
vvl	FBtr0345911
CG10077	FBtr0333083
CG9948	FBtr0333081
CG9948	FBtr0076896
CG10075	FBtr0076939
Surf1	FBtr0076897
sgl	FBtr0076938
CG9953	FBtr0076898
Galphai	FBtr0076934
msl-3	FBtr0076926
RpL18	FBtr0345036
RpL18	FBtr0333370
RpL18	FBtr0076892
Neos	FBtr0076835
Neos	FBtr0333367
mRpL50	FBtr0076891
mei-P22	FBtr0076836
Cdc27	FBtr0333369
Cdc27	FBtr0076890
MED4	FBtr0076889
CG8607	FBtr0076837
RhoGEF4	FBtr0076885
CG8602	FBtr0076884
CG8602	FBtr0332734
CG43780	FBtr0331507
eco	FBtr0100278
Srp19	FBtr0076879
CTCF	FBtr0076878
CR45822	FBtr0346844
CR45822	FBtr0346843
Sec63	FBtr0076847
Sh3beta	FBtr0076873
akirin	FBtr0076848
SMSr	FBtr0076870
smid	FBtr0076851
smid	FBtr0301611
CG7546	FBtr0305073
CG33276	FBtr0114530
CG7506	FBtr0076822
CG7492	FBtr0076821
CG12262	FBtr0076808
CG32365	FBtr0339897
CG8111	FBtr0076770
Srp9	FBtr0076750
CG8042	FBtr0076766
HP4	FBtr0076764
CG8209	FBtr0076753
CG8038	FBtr0076763
nmo	FBtr0076758
nmo	FBtr0076754
CR45867	FBtr0346915
Arp3	FBtr0334087
msk	FBtr0076685
Uba2	FBtr0076734
CdsA	FBtr0076688
RecQ4	FBtr0076729
Nmt	FBtr0076728
CG7979	FBtr0076690
UbcE2M	FBtr0332139
UbcE2M	FBtr0076722
CG8005	FBtr0076695
cert	FBtr0076717
Rab19	FBtr0076705
CG7197	FBtr0076715
CG13671	FBtr0076706
Sbp2	FBtr0076707
BI-1	FBtr0076711
CG7185	FBtr0076710
CG7185	FBtr0304628
CG7182	FBtr0076677
CG7182	FBtr0345596
Idh	FBtr0076669
Idh	FBtr0076667
CG33057	FBtr0076678
mtrm	FBtr0076613
Cbl	FBtr0076614
Unr	FBtr0345595
Unr	FBtr0332984
Unr	FBtr0114592
CG6983	FBtr0345602
CG6983	FBtr0076659
CG6683	FBtr0076655
GstO2	FBtr0076653
GstO1	FBtr0076652
ergic53	FBtr0301629
ergic53	FBtr0076626
Nelf-E	FBtr0076650
RpL14	FBtr0076633
GAPsec	FBtr0076648
Cdc6	FBtr0076647
h	FBtr0100153
h	FBtr0076569
Mcm7	FBtr0076585
Tsp66E	FBtr0076507
Tsp66E	FBtr0076508
CG43783	FBtr0331519
GNBP3	FBtr0076510
mRpL12	FBtr0076511
CG5021	FBtr0076513
CG5021	FBtr0076514
CG5021	FBtr0301140
CG5021	FBtr0301139
CG5026	FBtr0301141
CG5026	FBtr0076515
CG5026	FBtr0076516
pix	FBtr0076557
Srp68	FBtr0076517
CG13314	FBtr0076518
CG5068	FBtr0076519
CG5068	FBtr0333907
smg	FBtr0076550
CG5087	FBtr0076520
CG5144	FBtr0076523
Argk	FBtr0076544
CG4942	FBtr0076524
Dhpr	FBtr0100532
Dhpr	FBtr0076531
Dhpr	FBtr0100531
CG32039	FBtr0076441
CG32039	FBtr0345605
Pdxk	FBtr0112761
CG34456	FBtr0112762
CG4447	FBtr0076444
CG4452	FBtr0089493
Fdxh	FBtr0076498
Hsp22	FBtr0100559
Hsp26	FBtr0076496
Hsp26	FBtr0346539
Hsp67Ba	FBtr0076495
Hsp23	FBtr0076453
Hsp23	FBtr0309504
Hsp27	FBtr0076454
Hsp27	FBtr0346541
CG4080	FBtr0309506
CG4080	FBtr0076494
eIF-4E	FBtr0076493
eIF-4E	FBtr0076487
eIF-4E	FBtr0076488
eIF-4E	FBtr0076489
aay	FBtr0076457
Shc	FBtr0076458
Nf-YA	FBtr0076504
ghi	FBtr0076462
phol	FBtr0345600
phol	FBtr0076475
Uch-L5	FBtr0333867
Jarid2	FBtr0076468
pall	FBtr0076471
path	FBtr0076427
CG3408	FBtr0076426
RpS9	FBtr0076423
CR45874	FBtr0346921
CG3335	FBtr0076383
CG8336	FBtr0333855
CG6767	FBtr0345032
Ubc4	FBtr0076395
Ubc4	FBtr0345603
Ubc4	FBtr0345604
vsg	FBtr0076400
vsg	FBtr0076401
vsg	FBtr0330097
snmRNA:838	FBtr0091797
CG18178	FBtr0331542
CG14174	FBtr0076402
Naa60	FBtr0114566
ATPsyn-b	FBtr0076405
CG8177	FBtr0076318
Ilp4	FBtr0076372
I-2	FBtr0076370
Cdk8	FBtr0076369
RasGAP1	FBtr0076368
RasGAP1	FBtr0076367
RasGAP1	FBtr0330168
CG10809	FBtr0300688
iPLA2-VIA	FBtr0076364
CG8108	FBtr0076339
CG8108	FBtr0076340
CalpB	FBtr0076343
CalpB	FBtr0304675
CG6707	FBtr0076357
Dronc	FBtr0076347
CG6674	FBtr0076354
vnc	FBtr0076349
CR46003	FBtr0347130
Gem3	FBtr0334100
Gem3	FBtr0076292
hay	FBtr0114599
CG8009	FBtr0076254
CG8003	FBtr0076260
CG8003	FBtr0331572
CG11811	FBtr0076265
CG6418	FBtr0076274
Blos4	FBtr0333403
Blos4	FBtr0076269
CG7949	FBtr0076270
CG6404	FBtr0076272
Aps	FBtr0076251
Blos2	FBtr0076202
CG32069	FBtr0076241
SuUR	FBtr0076203
CG45101	FBtr0344636
Mocs1	FBtr0076205
l(3)01239	FBtr0332708
l(3)01239	FBtr0076238
JIL-1	FBtr0332707
CG6272	FBtr0332706
CG6272	FBtr0076234
APP-BP1	FBtr0076208
APP-BP1	FBtr0331179
CG7638	FBtr0076210
Sod	FBtr0076229
Ufd1-like	FBtr0076223
wls	FBtr0076219
CG7600	FBtr0076165
CR44718	FBtr0342868
scyl	FBtr0076168
CG6175	FBtr0076183
CG6175	FBtr0333388
chrb	FBtr0076093
CG7394	FBtr0076098
CG7394	FBtr0305648
rt	FBtr0076146
CG6091	FBtr0273306
CG6084	FBtr0076139
CG6084	FBtr0331547
PCID2	FBtr0076102
CG18815	FBtr0076103
RIOK1	FBtr0076134
RIOK1	FBtr0076135
CG7339	FBtr0076107
CG7339	FBtr0331530
TfIIEalpha	FBtr0076108
CR43887	FBtr0332763
CG11652	FBtr0076130
Ccdc56	FBtr0302271
mtTFB1	FBtr0302272
Bmcp	FBtr0076114
Pi3K68D	FBtr0332055
CG5946	FBtr0076079
CG5946	FBtr0302136
RpL10Ab	FBtr0076032
CG32095	FBtr0076077
CycA	FBtr0304650
CycA	FBtr0076075
CG5718	FBtr0076069
viaf	FBtr0076062
Grip163	FBtr0076061
Pop2	FBtr0076058
Pop2	FBtr0300272
Pop2	FBtr0344758
l(3)j2D3	FBtr0075991
ssp	FBtr0075992
CG11560	FBtr0075993
yps	FBtr0076027
CR11538	FBtr0347179
Lsp2	FBtr0089324
Lsp2	FBtr0345352
CG5645	FBtr0076024
l(3)neo18	FBtr0076023
l(3)neo18	FBtr0334094
RhoGAP68F	FBtr0075997
CG5642	FBtr0076022
eap	FBtr0076000
CAH2	FBtr0076001
Pbgs	FBtr0333357
Pbgs	FBtr0076011
CG4300	FBtr0346392
CG10418	FBtr0075954
CG32103	FBtr0332090
CG32103	FBtr0075982
ArfGAP1	FBtr0075981
CG10616	FBtr0075956
CG10616	FBtr0346569
vih	FBtr0075958
tral	FBtr0075959
tral	FBtr0332636
tral	FBtr0332638
tral	FBtr0332639
tral	FBtr0332640
tral	FBtr0332641
tral	FBtr0332642
tral	FBtr0332635
tral	FBtr0332637
Gcn5	FBtr0075969
ver	FBtr0331792
eIF-2beta	FBtr0075968
nst	FBtr0075967
Tsf2	FBtr0075966
CG10688	FBtr0075961
CG4069	FBtr0075965
SmD1	FBtr0075952
Klc	FBtr0075951
CG10984	FBtr0075920
Atg1	FBtr0075945
Atg1	FBtr0300561
CG42709	FBtr0302980
CG42709	FBtr0302981
Sap130	FBtr0114506
CG32110	FBtr0075931
CG10754	FBtr0075944
CG11263	FBtr0075873
MICAL-like	FBtr0075898
CG11267	FBtr0075875
mRpL20	FBtr0075897
ste14	FBtr0332075
ste14	FBtr0075876
AdenoK	FBtr0346531
AdenoK	FBtr0075895
RpS12	FBtr0075878
SRm160	FBtr0075883
RpS4	FBtr0075884
Syx13	FBtr0075886
CR45886	FBtr0346933
ImpL1	FBtr0075843
Poc1	FBtr0075863
CG10222	FBtr0345341
CG10222	FBtr0075861
flr	FBtr0075845
CG10732	FBtr0075851
CG10133	FBtr0075825
CG10089	FBtr0075823
Abp1	FBtr0075819
Tgi	FBtr0075810
Spt20	FBtr0340705
Spt20	FBtr0075812
Liprin-beta	FBtr0075814
CG43184	FBtr0306058
Rgl	FBtr0075793
Rgl	FBtr0330186
Gl	FBtr0075756
ssp2	FBtr0075759
Nxf3	FBtr0333073
Nxf3	FBtr0345389
ssp2	FBtr0346645
26-29-p	FBtr0075766
CG17361	FBtr0075767
CG17359	FBtr0075787
CG8783	FBtr0075786
ptip	FBtr0075784
endos	FBtr0333052
endos	FBtr0075782
Hsc70Cb	FBtr0075772
CG6833	FBtr0075774
CG13484	FBtr0075780
CG32138	FBtr0075776
D	FBtr0333035
D	FBtr0333034
fz	FBtr0330102
Mpcp	FBtr0075718
Gbs-70E	FBtr0075724
Gbs-70E	FBtr0075723
RecQ5	FBtr0075715
dlp	FBtr0075679
Trl	FBtr0075708
CG9384	FBtr0075690
bmm	FBtr0075699
bmm	FBtr0300190
CG9425	FBtr0075693
NHP2	FBtr0333076
NHP2	FBtr0075698
gnu	FBtr0075697
CG13465	FBtr0075674
Tom	FBtr0075620
Ocho	FBtr0299779
Ocho	FBtr0309062
CR43432	FBtr0309065
CG5114	FBtr0075624
mnd	FBtr0075627
mRpL39	FBtr0075672
Prosbeta2	FBtr0075629
ind	FBtr0333875
CG6945	FBtr0075657
Aats-gly	FBtr0075632
CTPsyn	FBtr0345691
CTPsyn	FBtr0344431
CG12316	FBtr0075651
Pdi	FBtr0075648
Pdi	FBtr0346644
CG32147	FBtr0075647
Pex3	FBtr0075640
Pex3	FBtr0331830
Msh6	FBtr0075646
Prp31	FBtr0075642
CG6878	FBtr0075643
Toll-6	FBtr0075614
Toll-6	FBtr0306307
Toll-6	FBtr0306308
CG7275	FBtr0075547
CG7857	FBtr0075605
CG7841	FBtr0334085
CG7841	FBtr0075604
Z600	FBtr0075549
Eip71CD	FBtr0075552
Eip71CD	FBtr0075553
Eip71CD	FBtr0075554
Eip71CD	FBtr0330177
CG13454	FBtr0075603
yellow-k	FBtr0075556
CG7945	FBtr0075599
CG7945	FBtr0075600
CG7739	FBtr0075596
CG7427	FBtr0075561
dop	FBtr0075562
CG16979	FBtr0075563
mrn	FBtr0075595
CG12301	FBtr0075564
CG12304	FBtr0075565
CG12304	FBtr0075566
RhoGAP71E	FBtr0075568
RhoGAP71E	FBtr0303510
CG7650	FBtr0075591
CG7372	FBtr0075570
fwe	FBtr0075542
dbo	FBtr0075505
CG18081	FBtr0075537
CG15715	FBtr0075536
elgi	FBtr0075510
elgi	FBtr0333573
Arl1	FBtr0075517
Hip14	FBtr0075518
Hip14	FBtr0330161
Hip14	FBtr0333577
CR43950	FBtr0344585
CR43949	FBtr0344584
mir-4941	FBtr0309722
CR45889	FBtr0346930
Taspase1	FBtr0333600
Taspase1	FBtr0075498
CG5235	FBtr0075497
CG5235	FBtr0333599
Taf4	FBtr0333291
Taf4	FBtr0075448
Taf4	FBtr0345951
Pgm	FBtr0075492
SsRbeta	FBtr0075453
Trs20	FBtr0075491
elg1	FBtr0089713
l(3)72Dn	FBtr0075484
PDCD-5	FBtr0075483
MED10	FBtr0301481
MED10	FBtr0333560
mRpS34	FBtr0075379
CR45894	FBtr0346925
Cpr72Ec	FBtr0075424
roq	FBtr0331173
CG4729	FBtr0075417
Aats-tyr	FBtr0075410
mbf1	FBtr0075393
mbf1	FBtr0330137
mbf1	FBtr0305570
Smn	FBtr0075395
Rpn12	FBtr0075308
l(3)73Ah	FBtr0307336
tra	FBtr0075364
spd-2	FBtr0075363
CG32164	FBtr0075313
CG32164	FBtr0331559
Prosbeta6	FBtr0075360
Su(P)	FBtr0075359
Mo25	FBtr0075358
Abl	FBtr0112790
Abl	FBtr0345369
Abl	FBtr0075357
Abl	FBtr0330134
Abl	FBtr0330135
Abl	FBtr0330136
Baldspot	FBtr0075355
snRNA:U12:73B	FBtr0075315
zetaCOP	FBtr0075352
Lasp	FBtr0100145
Nrt	FBtr0075323
CG13025	FBtr0075346
CG13025	FBtr0333610
CG9705	FBtr0075324
CG9705	FBtr0075325
CG9705	FBtr0333607
CG9706	FBtr0075327
Int6	FBtr0075345
nudC	FBtr0075328
TSG101	FBtr0075329
CG9715	FBtr0075330
sina	FBtr0075332
CG13029	FBtr0332702
CG9951	FBtr0075337
CG6664	FBtr0075293
CG7728	FBtr0075274
Fit2	FBtr0075275
beg	FBtr0075278
Papst2	FBtr0075279
rogdi	FBtr0075283
CG6512	FBtr0075251
CG6479	FBtr0075246
CG6479	FBtr0075245
blot	FBtr0075232
noe	FBtr0110845
noe	FBtr0110844
Sec3	FBtr0075231
CG7630	FBtr0075217
CG33052	FBtr0075229
frc	FBtr0075228
CG32176	FBtr0075218
CG7603	FBtr0075220
CG7580	FBtr0333691
CG7580	FBtr0302509
U4-U6-60K	FBtr0075209
Edc3	FBtr0075208
Nedd4	FBtr0299648
Nedd4	FBtr0300520
Nedd4	FBtr0300519
Vps60	FBtr0075201
Vps60	FBtr0333123
CG7510	FBtr0075182
CG7510	FBtr0333121
Pep	FBtr0075200
Krn	FBtr0075197
CG7484	FBtr0075184
Crtc	FBtr0330162
Crtc	FBtr0345384
Crtc	FBtr0075196
snmRNA:641	FBtr0091663
CG7460	FBtr0075187
